Format, Trivinci Systems LLC, V2
Device type, Road-Keeper dual 1080p
Starting Date, 20/5/2023
Starting Time, 16:29:17
sample rate (samps/sec), 30
duration (secs), 276.033
GPS sample rate (Hz), 10
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap, Brake (bar)
1, 0, 0, 0, 52.388110, 4.541595, 0, 0, 0, 0, 0, 0, 0, 32, 109.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541595, 0, 0, 0, 0, 0, 0, 0, 32, 109.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541595, 0, 0, 0, 0, 0, 0, 0, 32, 109.300003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388110, 4.541615, 0, 0, 0, 0, 0, 0, 0, 32, 106.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541615, 0, 0, 0, 0, 0, 0, 0, 32, 106.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541615, 0, 0, 0, 0, 0, 0, 0, 32, 106.919998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388110, 4.541636, 0, 0, 0, 0, 0, 0, 0, 32, 105.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541636, 0, 0, 0, 0, 0, 0, 0, 32, 105.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388110, 4.541636, 0, 0, 0, 0, 0, 0, 0, 32, 105.050003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541657, 0, 0, 0, 0, 0, 0, 0, 32, 102.809998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541657, 0, 0, 0, 0, 0, 0, 0, 32, 102.809998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541657, 0, 0, 0, 0, 0, 0, 0, 32, 102.809998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541678, 0, 0, 0, 0, 0, 0, 0, 31, 100.470001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541678, 0, 0, 0, 0, 0, 0, 0, 31, 100.470001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541678, 0, 0, 0, 0, 0, 0, 0, 31, 100.470001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541699, 0, 0, 0, 0, 0, 0, 0, 31, 98.110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541699, 0, 0, 0, 0, 0, 0, 0, 31, 98.110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541699, 0, 0, 0, 0, 0, 0, 0, 31, 98.110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541720, 0, 0, 0, 0, 0, 0, 0, 31, 96.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541720, 0, 0, 0, 0, 0, 0, 0, 31, 96.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541720, 0, 0, 0, 0, 0, 0, 0, 31, 96.330002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541741, 0, 0, 0, 0, 0, 0, 0, 31, 94.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541741, 0, 0, 0, 0, 0, 0, 0, 31, 94.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541741, 0, 0, 0, 0, 0, 0, 0, 31, 94.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541762, 0, 0, 0, 0, 0, 0, 0, 31, 92.790001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541762, 0, 0, 0, 0, 0, 0, 0, 31, 92.790001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541762, 0, 0, 0, 0, 0, 0, 0, 31, 92.790001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 52.388102, 4.541783, 0, 0, 0, 0, 0, 0, 0, 31, 90.339996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
1, 0, 0, 0, 52.388102, 4.541847, 0, 0, 0, 0, 0, 0, 0, 31, 86.040001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
