GPS Reading,Lat (Degrees),Lon (Degrees),Velocity (MPH),Heading(Deg),Velocity (KPH)
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390804,4.542087,3,0.0,0
0,52.390804,4.542087,3,0.0,0
0,52.390804,4.542087,3,0.0,0
1,52.39078,4.542052,3,0.0,0
0,52.39078,4.542052,3,0.0,0
0,52.39078,4.542052,3,0.0,0
1,52.390739,4.542047,3,0.0,0
0,52.390739,4.542047,3,0.0,0
0,52.390739,4.542047,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
0,52.390723,4.542049,3,0.0,0
1,52.39069,4.542051,3,71.25,0
0,52.39069,4.542051,3,71.25,0
0,52.39069,4.542051,3,71.25,0
1,52.390658,4.542054,3,75.480003,0
0,52.390658,4.542054,3,75.480003,0
0,52.390658,4.542054,3,75.480003,0
1,52.390625,4.542062,3,78.82,0
0,52.390625,4.542062,3,78.82,0
0,52.390625,4.542062,3,78.82,0
1,52.390584,4.542062,3,80.629997,0
0,52.390584,4.542062,3,80.629997,0
0,52.390584,4.542062,3,80.629997,0
1,52.390552,4.542071,3,79.510002,0
0,52.390552,4.542071,3,79.510002,0
0,52.390552,4.542071,3,79.510002,0
1,52.390527,4.542071,3,82.379997,0
0,52.390527,4.542071,3,82.379997,0
0,52.390527,4.542071,3,82.379997,0
1,52.390527,4.542071,3,80.160004,0
0,52.390527,4.542071,3,80.160004,0
0,52.390527,4.542071,3,80.160004,0
1,52.390519,4.542091,3,79.529999,0
0,52.390519,4.542091,3,79.529999,0
0,52.390519,4.542091,3,79.529999,0
1,52.390511,4.542103,3,79.519997,0
0,52.390511,4.542103,3,79.519997,0
0,52.390511,4.542103,3,79.519997,0
1,52.390495,4.54211,3,79.82,0
0,52.390495,4.54211,3,79.82,0
0,52.390495,4.54211,3,79.82,0
1,52.390487,4.542114,3,79.160004,0
0,52.390487,4.542114,3,79.160004,0
0,52.390487,4.542114,3,79.160004,0
1,52.390479,4.542119,3,79.370003,0
0,52.390479,4.542119,3,79.370003,0
0,52.390479,4.542119,3,79.370003,0
1,52.390462,4.542122,3,79.510002,0
0,52.390462,4.542122,3,79.510002,0
0,52.390462,4.542122,3,79.510002,0
1,52.390454,4.542131,3,79.68,0
0,52.390454,4.542131,3,79.68,0
0,52.390454,4.542131,3,79.68,0
1,52.390438,4.542135,3,79.5,0
0,52.390438,4.542135,3,79.5,0
0,52.390438,4.542135,3,79.5,0
1,52.39043,4.542133,3,78.839996,0
0,52.39043,4.542133,3,78.839996,0
0,52.39043,4.542133,3,78.839996,0
1,52.390413,4.542127,3,80.07,0
0,52.390413,4.542127,3,80.07,0
0,52.390413,4.542127,3,80.07,0
1,52.390405,4.542123,3,79.660004,0
0,52.390405,4.542123,3,79.660004,0
0,52.390405,4.542123,3,79.660004,0
1,52.390405,4.542118,1,79.010002,0
0,52.390405,4.542118,1,79.010002,0
0,52.390405,4.542118,1,79.010002,0
1,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
1,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
1,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
1,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
0,52.390389,4.542111,1,77.589996,0
1,52.390405,4.541939,0,0.0,0
0,52.390405,4.541939,0,0.0,0
0,52.390405,4.541939,0,0.0,0
1,52.390413,4.54193,0,0.0,0
0,52.390413,4.54193,0,0.0,0
0,52.390413,4.54193,0,0.0,0
1,52.39043,4.541914,0,0.0,0
0,52.39043,4.541914,0,0.0,0
0,52.39043,4.541914,0,0.0,0
1,52.390422,4.541889,0,0.0,0
0,52.390422,4.541889,0,0.0,0
0,52.390422,4.541889,0,0.0,0
1,52.390422,4.541859,0,0.0,0
0,52.390422,4.541859,0,0.0,0
0,52.390422,4.541859,0,0.0,0
1,52.390413,4.541828,0,0.0,0
0,52.390413,4.541828,0,0.0,0
0,52.390413,4.541828,0,0.0,0
1,52.390405,4.541825,0,0.0,0
0,52.390405,4.541825,0,0.0,0
0,52.390405,4.541825,0,0.0,0
1,52.390405,4.541832,0,0.0,0
0,52.390405,4.541832,0,0.0,0
0,52.390405,4.541832,0,0.0,0
1,52.390405,4.541824,0,0.0,0
0,52.390405,4.541824,0,0.0,0
0,52.390405,4.541824,0,0.0,0
1,52.390405,4.541843,0,0.0,0
0,52.390405,4.541843,0,0.0,0
0,52.390405,4.541843,0,0.0,0
1,52.390405,4.541855,0,0.0,0
0,52.390405,4.541855,0,0.0,0
0,52.390405,4.541855,0,0.0,0
1,52.390397,4.541852,0,0.0,0
0,52.390397,4.541852,0,0.0,0
0,52.390397,4.541852,0,0.0,0
1,52.390397,4.541857,0,0.0,0
0,52.390397,4.541857,0,0.0,0
0,52.390397,4.541857,0,0.0,0
1,52.390397,4.541872,0,0.0,0
0,52.390397,4.541872,0,0.0,0
0,52.390397,4.541872,0,0.0,0
1,52.390397,4.54188,0,0.0,0
0,52.390397,4.54188,0,0.0,0
0,52.390397,4.54188,0,0.0,0
1,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
1,52.390397,4.541892,0,0.0,0
0,52.390397,4.541892,0,0.0,0
0,52.390397,4.541892,0,0.0,0
1,52.390397,4.541895,0,0.0,0
0,52.390397,4.541895,0,0.0,0
0,52.390397,4.541895,0,0.0,0
1,52.390397,4.541895,0,0.0,0
0,52.390397,4.541895,0,0.0,0
0,52.390397,4.541895,0,0.0,0
1,52.390397,4.541893,0,0.0,0
0,52.390397,4.541893,0,0.0,0
0,52.390397,4.541893,0,0.0,0
1,52.390397,4.541891,0,0.0,0
0,52.390397,4.541891,0,0.0,0
0,52.390397,4.541891,0,0.0,0
1,52.390397,4.541886,0,0.0,0
0,52.390397,4.541886,0,0.0,0
0,52.390397,4.541886,0,0.0,0
1,52.390397,4.541886,0,0.0,0
0,52.390397,4.541886,0,0.0,0
0,52.390397,4.541886,0,0.0,0
1,52.390397,4.541885,0,0.0,0
0,52.390397,4.541885,0,0.0,0
0,52.390397,4.541885,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390389,4.541881,0,0.0,0
0,52.390389,4.541881,0,0.0,0
0,52.390389,4.541881,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541881,0,0.0,0
0,52.390397,4.541881,0,0.0,0
0,52.390397,4.541881,0,0.0,0
1,52.390397,4.541881,0,0.0,0
0,52.390397,4.541881,0,0.0,0
0,52.390397,4.541881,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
1,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
1,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
1,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
0,52.390397,4.541884,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
0,52.390397,4.541882,0,0.0,0
1,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
0,52.390397,4.541883,0,0.0,0
1,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
0,52.390405,4.541884,0,0.0,0
1,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
1,52.390405,4.541886,0,37.299999,0
0,52.390405,4.541886,0,37.299999,0
0,52.390405,4.541886,0,37.299999,0
1,52.390405,4.541887,1,34.68,1
0,52.390405,4.541887,1,34.68,1
0,52.390405,4.541887,1,34.68,1
1,52.390405,4.541884,0,32.369999,0
0,52.390405,4.541884,0,32.369999,0
0,52.390405,4.541884,0,32.369999,0
1,52.390405,4.541883,0,0.0,0
0,52.390405,4.541883,0,0.0,0
0,52.390405,4.541883,0,0.0,0
1,52.390405,4.541885,0,0.0,0
0,52.390405,4.541885,0,0.0,0
0,52.390405,4.541885,0,0.0,0
1,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
1,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
0,52.390405,4.541886,0,0.0,0
1,52.390413,4.541888,0,0.0,0
0,52.390413,4.541888,0,0.0,0
0,52.390413,4.541888,0,0.0,0
1,52.390413,4.54189,0,0.0,0
0,52.390413,4.54189,0,0.0,0
0,52.390413,4.54189,0,0.0,0
1,52.390413,4.54189,0,0.0,0
0,52.390413,4.54189,0,0.0,0
0,52.390413,4.54189,0,0.0,0
1,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
1,52.390405,4.541888,0,0.0,0
0,52.390405,4.541888,0,0.0,0
0,52.390405,4.541888,0,0.0,0
1,52.390405,4.541893,0,0.0,0
0,52.390405,4.541893,0,0.0,0
0,52.390405,4.541893,0,0.0,0
1,52.390405,4.541897,0,0.0,0
0,52.390405,4.541897,0,0.0,0
0,52.390405,4.541897,0,0.0,0
1,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
1,52.390405,4.541899,0,0.0,0
0,52.390405,4.541899,0,0.0,0
0,52.390405,4.541899,0,0.0,0
1,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
1,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
0,52.390405,4.541898,0,0.0,0
1,52.390405,4.541896,0,0.0,0
0,52.390405,4.541896,0,0.0,0
0,52.390405,4.541896,0,0.0,0
1,52.390405,4.541894,0,0.0,0
0,52.390405,4.541894,0,0.0,0
0,52.390405,4.541894,0,0.0,0
1,52.390405,4.541892,0,0.0,0
0,52.390405,4.541892,0,0.0,0
0,52.390405,4.541892,0,0.0,0
1,52.390405,4.541891,0,0.0,0
0,52.390405,4.541891,0,0.0,0
0,52.390405,4.541891,0,0.0,0
1,52.390405,4.541891,0,0.0,0
0,52.390405,4.541891,0,0.0,0
0,52.390405,4.541891,0,0.0,0
1,52.390405,4.54189,0,0.0,0
0,52.390405,4.54189,0,0.0,0
0,52.390405,4.54189,0,0.0,0
1,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
1,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
0,52.390405,4.541889,0,0.0,0
1,52.390405,4.541888,0,0.0,0
0,52.390405,4.541888,0,0.0,0
0,52.390405,4.541888,0,0.0,0
1,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
1,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
1,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
1,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
0,52.390397,4.541888,0,0.0,0
1,52.390397,4.541887,0,0.0,0
0,52.390397,4.541887,0,0.0,0
0,52.390397,4.541887,0,0.0,0
1,52.390397,4.541887,0,0.0,0
